Sl. No. (Col.1),Crime Head (Col.2),Cases Pending Investigation from Previous Year (Col.3),Cases Reported during the Year (Col.4),Cases Reopened for Investigation (Col.5),Total Cases for Investigation (Col.3+Col.4+Col.5) (Col.6),Cases Not Investigated Under 157_1_b CRPC (Col.7),Cases Transferred to Other State or Agency (Col.8),Cases Withdrawn by the Govt during Investigation (Col.9),Final Report - Cases Ended as FR Non Cognizable (Col.10),Final Report - Cases Ended as Final Report False (Col.11),Final Report - Cases Ended as Mistake of Fact or of law or Civil Dispute (Col.12),Final Report - Cases True but Insufficient Evidence or Untraced or No Clue (Col.13),Final Report - Cases Abated during Investigation (Col.14),Final Report - Total (Col.10+Col.11+Col.12+Col13+Col.14) (Col.15),Chargesheets Submitted - Cases Chargesheeted Out of Cases from Prev. Year (Col.16),Chargesheets Submitted - Cases Chargesheeted Out of Cases during the Year (Col.17),Chargesheets Submitted - Cases Chargesheeted (Col.16+Col.17) (Col.18),Total Cases Disposed Off by Police (Col.7+8+15+18) (Col.19),Cases Quashed at Investigation Stage (Col.20),Cases Stayed at Investigation Stage (Col.21),Cases Pending Invsgn.at end of the year (Col.6-9-19-20) (Col.22),Chargesheeting Rate (Col.18/19*100) (Col.23),Pendency Percentage (Col.22/6*100) (Col.24)
1,Murder,17722,27721,101,45544,2,81,0,40,855,747,2138,221,4001,7933,16642,24575,28659,5,4,16880,85.7,37.1
2,Culpable Homicide not amounting to Murder,1716,3557,15,5288,0,12,0,1,102,82,307,19,511,868,2083,2951,3474,6,5,1808,84.9,34.2
3,Causing Death by Negligence,58730,165971,619,225320,2,60,4,131,1357,3245,26785,6763,38281,28619,94822,123441,161784,20,11,63512,76.3,28.2
3.1,Deaths due to Negligence relating to Road Accidents,54709,157831,610,213150,0,56,4,64,1131,2993,25292,6546,36026,27099,90208,117307,153389,9,8,59748,76.5,28
3.1A,Hit and Run,13029,51780,7,64816,0,3,1,60,245,1461,13685,481,15932,5388,29164,34552,50487,2,0,14326,68.4,22.1
3.1B,Other Accidents,41680,106051,603,148334,0,53,3,4,886,1532,11607,6065,20094,21711,61044,82755,102902,7,8,45422,80.4,30.6
3.2,Deaths due to Negligence relating to Rail Accidents,58,7,0,65,0,0,0,0,1,0,4,0,5,3,0,3,8,0,0,57,37.5,87.7
3.3,Deaths due to Medical Negligence,107,114,3,224,0,0,0,0,17,23,14,0,54,25,40,65,119,0,2,105,54.6,46.9
3.4,Deaths due to Negligence of Civic Bodies,65,60,0,125,0,0,0,0,7,3,5,0,15,22,31,53,68,0,0,57,77.9,45.6
3.5,Deaths due to other Negligence,3791,7959,6,11756,2,4,0,67,201,226,1470,217,2181,1470,4543,6013,8200,11,1,3545,73.3,30.2
4,Dowry Deaths,3231,6156,15,9402,0,6,0,3,187,159,270,2,621,1832,4056,5888,6515,1,2,2886,90.4,30.7
5,Abetment of Suicide,6269,9386,16,15671,0,15,0,4,606,348,449,14,1421,2890,4997,7887,9323,26,15,6322,84.6,40.3
6,Attempt to Commit Murder,35176,56549,546,92271,3,34,0,133,1109,1357,2621,58,5278,17148,35772,52920,58235,54,23,33982,90.9,36.8
7,Attempt to commit Culpable Homicide,3958,11954,1,15913,0,2,0,54,132,111,297,0,594,2459,8844,11303,11899,25,2,3989,95,25.1
8,Attempt to Commit Suicide,1331,1717,8,3056,0,4,0,0,238,86,128,15,467,508,892,1400,1871,2,1,1183,74.8,38.7
9,"Miscarriage, Infanticide, Foeticide and Abandonment",731,1117,1,1849,0,3,0,1,50,40,646,3,740,104,291,395,1138,3,10,708,34.7,38.3
10,Hurt,224400,636767,3945,865112,5,77,2,2202,16801,18089,22940,210,60242,119395,466018,585413,645737,318,83,219055,90.7,25.3
10.1,Simple Hurt,189919,537179,3118,730216,5,59,2,2033,15735,15925,19775,181,53649,100975,391849,492824,546537,244,73,183433,90.2,25.1
10.1A,Voluntarily Causing Simple Hurt,94086,325028,2416,421530,5,18,1,1297,11880,11164,13143,27,37511,50141,248394,298535,336069,100,35,85360,88.8,20.3
10.1B,Voluntarily causing hurt by Dangerous weapons or means,79840,180866,689,261395,0,27,0,700,3212,3974,4142,124,12152,43299,122733,166032,178211,120,16,83064,93.2,31.8
10.1C,Voluntarily Causing hurt/Force to deter public servant from his duty,7610,13488,6,21104,0,8,1,13,416,232,394,11,1066,3776,8796,12572,13646,17,16,7440,92.1,35.3
10.1D,Causing Hurt by act endangering life/safety of others,3848,8408,7,12263,0,0,0,3,127,125,1130,12,1397,1376,5833,7209,8606,4,5,3653,83.8,29.8
10.1E,Other Simple Hurt,4535,9389,0,13924,0,6,0,20,100,430,966,7,1523,2383,6093,8476,10005,3,1,3916,84.7,28.1
10.2,Grievous Hurt,34481,99588,827,134896,0,18,0,169,1066,2164,3165,29,6593,18420,74169,92589,99200,74,10,35622,93.3,26.4
10.2A,Voluntarily causing grievous hurt,21736,72278,759,94773,0,13,0,152,727,1593,1934,12,4418,12110,55852,67962,72393,38,5,22342,93.9,23.6
10.2B,Voluntarily causing grievous hurt by dangerous weapons or means,9962,21579,37,31578,0,1,0,17,251,532,659,12,1471,5013,14932,19945,21417,32,2,10129,93.1,32.1
10.2C,Acid Attack,96,207,1,304,0,0,0,0,4,5,18,0,27,28,126,154,181,0,0,123,85.1,40.5
10.2D,Attempt to Acid Attack,69,65,0,134,0,1,0,0,7,2,4,0,13,16,37,53,67,1,1,66,79.1,49.3
10.2E,Voluntarily Causing Grievous hurt/Force to deter public servant from his duty,588,1166,0,1754,0,0,0,0,15,8,64,1,88,255,757,1012,1100,1,1,653,92,37.2
