Sl. No.,Crime Head,Cases Pending Trial from the Previous Year - ( Col. 3),Cases Sent for Trial during the year - ( Col. 4),Total Cases for Trial (Col.3+ Col.4) - ( Col. 5),Cases Abated by Court - ( Col. 6),Cases Withdrawn from Prosecution - ( Col. 7),Cases Compounded or Compromised - ( Col. 8),Cases Disposed off by Plea Bargaining - ( Col. 9),Cases Quashed - ( Col. 10),Cases Disposed off without Trial (Col.6+Col.7+Col.8+Col.9+Col.10) - ( Col. 11),Cases Stayed or Sent to Record Room - ( Col. 12),Cases Convicted Out of Cases from Previous Year - ( Col. 13),Cases Convicted Out of Cases during the Year - ( Col. 14),Cases Convicted (Col.13+ Col.14) - ( Col. 15),Cases Discharged - ( Col. 16),Cases Acquitted - ( Col. 17),Cases in which Trials were Completed (Col.15+Col.16+Col.17) - ( Col. 18),Cases Disposed off by Courts (Col.11+Col.18) - ( Col. 19),Cases Pending Trial at End of the Year (Col.5-Col.19) - ( Col. 20),Conviction Rate (Col.15/Col.18)*100 - ( Col. 21),Pendency Percentage (Col.20/ Col.5)*100 - ( Col. 22)
1,Murder,247623,24575,272198,330,346,595,35,6,1312,127,6729,452,7181,573,11283,19037,20349,251849,37.7,92.5
2,Culpable Homicide not amounting to Murder,25772,2951,28723,63,56,50,8,8,185,8,601,72,673,87,1256,2016,2201,26522,33.4,92.3
3,Causing Death by Negligence,781288,123441,904729,3602,1917,4092,1853,86,11550,268,16184,5925,22109,3028,48738,73875,85425,819304,29.9,90.6
3.1,Deaths due to Negligence relating to Road Accidents,743667,117307,860974,3513,1838,3972,1833,59,11215,263,15075,5870,20945,2850,46614,70409,81624,779350,29.7,90.5
3.1A,Hit and Run,216674,34552,251226,885,7,547,1423,22,2884,108,7325,4223,11548,723,8277,20548,23432,227794,56.2,90.7
3.1B,Other Accidents,526993,82755,609748,2628,1831,3425,410,37,8331,155,7750,1647,9397,2127,38337,49861,58192,551556,18.8,90.5
3.2,Deaths due to Negligence relating to Rail Accidents,64,3,67,1,0,0,0,0,1,0,0,0,0,2,4,6,7,60,0.0,89.6
3.3,Deaths due to Medical Negligence,622,65,687,16,0,0,0,0,16,0,8,1,9,3,20,32,48,639,28.1,93.0
3.4,Deaths due to Negligence of Civic Bodies,299,53,352,0,0,0,1,12,13,0,1,0,1,5,14,20,33,319,5.0,90.6
3.5,Deaths due to other Negligence,36636,6013,42649,72,79,120,19,15,305,5,1100,54,1154,168,2086,3408,3713,38936,33.9,91.3
4,Dowry Deaths,56859,5888,62747,11,156,64,0,7,238,7,1356,145,1501,195,2588,4284,4522,58225,35.0,92.8
5,Abetment of Suicide,43291,7887,51178,58,9,85,49,21,222,26,619,61,680,144,3836,4660,4882,46296,14.6,90.5
6,Attempt to Commit Murder,384883,52920,437803,277,854,619,19,107,1876,101,4618,577,5195,773,19610,25578,27454,410349,20.3,93.7
7,Attempt to commit Culpable Homicide,49729,11303,61032,43,1,18,8,208,278,21,1015,20,1035,76,1921,3032,3310,57722,34.1,94.6
8,Attempt to Commit Suicide,8827,1400,10227,94,15,61,11,8,189,5,339,157,496,60,483,1039,1228,8999,47.7,88.0
9,"Miscarriage, Infanticide, Foeticide and Abandonment",2362,395,2757,0,13,2,7,1,23,1,27,7,34,3,92,129,152,2605,26.4,94.5
10,Hurt,3357716,585413,3943129,2421,16448,67870,9562,1167,97468,767,74654,16246,90900,16529,143544,250973,348441,3594688,36.2,91.2
10.1,Simple Hurt,2463157,492824,2955981,1742,3896,59211,9070,977,74896,609,64649,14236,78885,14826,116583,210294,285190,2670791,37.5,90.4
10.1A,Voluntarily Causing Simple Hurt,1423678,298535,1722213,333,3338,25022,7821,550,37064,311,45540,8584,54124,12039,55217,121380,158444,1563769,44.6,90.8
10.1B,Voluntarily causing hurt by Dangerous weapons or means,882539,166032,1048571,1197,435,30642,1179,366,33819,230,15240,3907,19147,2441,51978,73566,107385,941186,26.0,89.8
10.1C,Voluntarily Causing hurt/Force to deter public servant from his duty,84879,12572,97451,132,52,391,6,50,631,30,1955,191,2146,194,5794,8134,8765,88686,26.4,91.0
10.1D,Causing Hurt by act endangering life/safety of others,33718,7209,40927,38,29,2139,43,11,2260,8,1256,1494,2750,81,1835,4666,6926,34001,58.9,83.1
10.1E,Other Simple Hurt,38343,8476,46819,42,42,1017,21,0,1122,30,658,60,718,71,1759,2548,3670,43149,28.2,92.2
10.2,Grievous Hurt,894559,92589,987148,679,12552,8659,492,190,22572,158,10005,2010,12015,1703,26961,40679,63251,923897,29.5,93.6
10.2A,Voluntarily causing grievous hurt,644813,67962,712775,421,9465,4620,347,89,14942,126,7980,1431,9411,1317,16814,27542,42484,670291,34.2,94.0
10.2B,Voluntarily causing grievous hurt by dangerous weapons or means,220465,19945,240410,198,2902,2409,106,91,5706,30,1213,326,1539,339,8253,10131,15837,224573,15.2,93.4
10.2C,Acid Attack,1177,154,1331,5,5,2,5,1,18,0,29,4,33,0,40,73,91,1240,45.2,93.2
10.2D,Attempt to Acid Attack,320,53,373,0,0,3,0,0,3,0,2,0,2,1,13,16,19,354,12.5,94.9
10.2E,Voluntarily Causing Grievous hurt/Force to deter public servant from his duty,6946,1012,7958,22,68,224,8,7,329,1,116,104,220,12,342,574,903,7055,38.3,88.7
10.2F,Causing Grevious Hurt by act endangering life/safety of others,14226,2674,16900,31,25,980,26,2,1064,0,643,143,786,32,1155,1973,3037,13863,39.8,82.0
10.2G,Other Grevious Hurt,6612,789,7401,2,87,421,0,0,510,1,22,2,24,2,344,370,880,6521,6.5,88.1
11,Wrongful Restraint/Confinement,61859,15147,77006,31,207,2495,444,18,3195,1,1625,493,2118,170,3682,5970,9165,67841,35.5,88.1
12,Assault on Women with Intent to Outrage her Modesty,509930,72846,582776,674,1405,6883,574,565,10101,97,8262,654,8916,1348,28923,39187,49288,533488,22.8,91.5
12.1,Assault on Women with Intent to Outrage her Modesty,295791,38572,334363,413,492,4110,314,232,5561,51,5224,408,5632,585,19051,25268,30829,303534,22.3,90.8
12.2,Sexual Harassment,112007,15442,127449,153,176,1094,195,144,1762,40,1991,149,2140,560,4714,7414,9176,118273,28.9,92.8
12.2A,at Work or Office Premises,3630,355,3985,5,95,46,0,2,148,0,30,12,42,14,272,328,476,3509,12.8,88.1
12.2B,In Public Transport System,2895,464,3359,3,0,30,0,2,35,0,38,10,48,16,99,163,198,3161,29.4,94.1
12.2C,In Shelter Homes for women and Children,2615,350,2965,4,1,30,0,0,35,0,8,0,8,0,95,103,138,2827,7.8,95.3
12.2D,Other Places,102867,14273,117140,141,80,988,195,140,1544,40,1915,127,2042,530,4248,6820,8364,108776,29.9,92.9
12.3,Assault or use of Criminal Force on women with intent to Disrobe,53247,8126,61373,26,709,235,10,49,1029,1,520,20,540,79,2449,3068,4097,57276,17.6,93.3
12.4,Voyeurism,6374,1369,7743,13,6,126,1,4,150,3,66,14,80,18,278,376,526,7217,21.3,93.2
12.5,Stalking,42511,9337,51848,69,22,1318,54,136,1599,2,461,63,524,106,2431,3061,4660,47188,17.1,91.0
