Sl. No.,State/UT,2021,2022,2023,Mid-Year Projected Population (in Lakhs) (2023),Rate of Murder (2023),Chargesheeting Rate (2023)
1,Andhra Pradesh,956,925,922,532.2,1.7,91.7
2,Arunachal Pradesh,49,56,57,15.7,3.6,84.2
3,Assam,1192,1072,1025,358.2,2.9,67.2
4,Bihar,2799,2930,2862,1273.7,2.2,92.6
5,Chhattisgarh,1007,1013,958,302.9,3.2,94.1
6,Goa,26,44,26,15.8,1.6,88.9
7,Gujarat,1010,959,968,717.9,1.3,91.7
8,Haryana,1112,1020,1042,303.3,3.4,70.2
9,Himachal Pradesh,86,85,93,74.8,1.2,85.9
10,Jharkhand,1573,1550,1463,396.3,3.7,76.4
11,Karnataka,1357,1404,1322,678.3,1.9,88.8
12,Kerala,337,334,352,358.2,1.0,94.1
13,Madhya Pradesh,2034,1978,1832,869.2,2.1,94.5
14,Maharashtra,2330,2295,2208,1267.1,1.7,93.8
15,Manipur,46,47,151,32.3,4.7,51.7
16,Meghalaya,80,72,62,33.6,1.8,54.9
17,Mizoram,24,31,24,12.4,1.9,86.8
18,Nagaland,27,21,19,22.4,0.8,85.7
19,Odisha,1394,1379,1362,463.7,2.9,86.7
20,Punjab,723,670,681,308.0,2.2,83.5
21,Rajasthan,1786,1834,1804,813.2,2.2,60.6
22,Sikkim,14,9,12,6.9,1.7,90.0
23,Tamil Nadu,1686,1690,1681,769.4,2.2,97.1
24,Telangana,1026,937,954,381.4,2.5,92.5
25,Tripura,122,109,101,41.6,2.4,80.3
26,Uttar Pradesh,3717,3491,3206,2364.8,1.4,83.0
27,Uttarakhand,208,187,183,116.8,1.6,82.8
28,West Bengal,1884,1696,1686,992.4,1.7,87.3
Total State (S),Total State (S),28605,27838,27056,13522.4,2.0,85.6
29,Andaman and Nicobar Islands,16,7,8,4.0,2.0,100.0
30,Chandigarh,17,18,17,12.4,1.4,87.0
31,Dadra and Nagar Haveli and Daman and Diu,14,16,20,12.9,1.5,87.0
32,Delhi,459,509,506,214.9,2.4,96.3
33,Jammu and Kashmir,136,99,84,136.4,0.6,72.0
34,Ladakh,5,5,2,3.0,0.7,100.0
35,Lakshadweep,1,0,0,0.7,0.0,100.0
36,Puducherry,19,30,28,16.6,1.7,93.5
Total UT (S),Total UT (S),667,684,665,400.9,1.7,90.7
Total All India,Total All India,29272,28522,27721,13923.3,2.0,85.7
